    0.790376877944546319E+01    0.274563027851679919E+01    0.147421340342782009E+00    0.798164970582221285E+05    0.117376957687792674E+04    0.773103025538640486E+04    0.482439166461139466E+05    0.512720637536207232E+04   -0.303808905332483573E+04    0.327250483943235522E+05   -0.602156474377203949E+03   -0.760996643805346821E+03   -0.265146557211303980E+04
    0.762594448228711919E+01    0.273834000077486905E+01    0.151522022808713880E+00    0.605462831040290112E+05    0.510319549697118509E+04    0.533568460595846045E+04    0.439861039852834365E+05    0.292433854072118083E+04   -0.287437252008936093E+04    0.404588009296960590E+05    0.148297054199465310E+04   -0.303769649646729295E+04   -0.265076391053424823E+04
    0.770958937558849033E+01    0.269878045621940998E+01    0.138107317641066374E+00    0.888921498719154915E+05    0.108599118157631437E+04    0.251261980885566709E+04    0.426527348291746457E+05    0.428280650945329580E+04    0.222836512538583520E+04    0.692974813848378108E+05   -0.497777791133856408E+04   -0.835668010238507304E+04   -0.265046114812328415E+04
    0.780989950282644241E+01    0.274367470903658273E+01    0.149592254064989050E+00    0.898798987786152575E+05    0.921987584709904331E+04    0.711967257148577755E+04    0.190148165581292087E+05   -0.838778159843761841E+02   -0.823875176093634195E+03    0.412448865414356769E+05    0.300884951161123809E+04   -0.438302650024838931E+04   -0.264989218927150068E+04
    0.771400834094899857E+01    0.267448018573519164E+01    0.158970029095319293E+00    0.353364985528810066E+05    0.871764887595954178E+03   -0.207962709642561231E+04    0.724998653964187251E+05   -0.956513437135888125E+03   -0.132190609420677993E+04    0.730273759068753279E+05    0.309496894280042352E+04   -0.870271706119993723E+03   -0.264935979791740237E+04
    0.790532416140063976E+01    0.271531087592298093E+01    0.148800841671690054E+00    0.603055236716738218E+05    0.652891284738312334E+04    0.407921957936303716E+04    0.495875976441133098E+05   -0.458372401129492937E+04    0.772622136843573003E+03    0.776015065754976386E+05    0.891791545395118192E+04   -0.993487767611435629E+03   -0.264893924957169156E+04
    0.800839826790200249E+01    0.273767947398302169E+01    0.159454440196612812E+00    0.433244690168135130E+05    0.219464318247887741E+04    0.288618936306091382E+04    0.387274571058964793E+05   -0.207625017190734252E+04   -0.211063727470396316E+04    0.375076842719174310E+05    0.438732812354591988E+04    0.141063681209569040E+03   -0.264882453304016826E+04
    0.779709995773344477E+01    0.271387938077056390E+01    0.138077475293310048E+00    0.909560758705441549E+05    0.442977214710842418E+04    0.715910237540057642E+04    0.645267334708265553E+05    0.499831749444300476E+04   -0.198325283778428911E+03    0.404777012234611684E+05    0.458525825036257720E+04   -0.446017320882242802E+04   -0.264873519187731199E+04
    0.799818194251435788E+01    0.271355110011349154E+01    0.148191709595005522E+00    0.613755959582270589E+05   -0.328972624811843298E+04    0.398368055679566169E+02    0.603236050166647183E+05    0.452454880086351113E+04   -0.330893113518585824E+04    0.837420355733130127E+05    0.236960527671230420E+04   -0.221472028443688851E+04   -0.264860224837813848E+04
    0.784272051441236595E+01    0.266493732351497670E+01    0.151700620691750665E+00    0.422151009304482650E+05   -0.160321284913594059E+04   -0.353075859335579571E+04    0.553171952480985201E+05    0.468267004149246623E+04    0.351490170655682732E+04    0.329064335824983937E+05   -0.202875588487113760E+04    0.148073395843089634E+04   -0.264841035223772997E+04
